WellID,Stage,model,mean_Do_x,mean_Do_y,mean_Do_z,sd_Do_x,sd_Do_y,sd_Do_z,hdi_3%_Do_x,hdi_3%_Do_y,hdi_3%_Do_z,hdi_97%_Do_x,hdi_97%_Do_y,hdi_97%_Do_z
3,14,linear,20.548,0.986,8.952,0.538,0.056,0.316,19.757,0.907,8.441,21.594,1.105,9.574
3,14,nonlinear,3.854,0.99,2.183,0.568,0.061,0.321,2.746,0.906,1.568,4.766,1.119,2.705
3,15,linear,7.766,0.427,4.439,0.285,0.016,0.117,7.179,0.396,4.272,8.163,0.461,4.677
3,15,nonlinear,2.409,0.427,1.294,0.274,0.016,0.151,1.89,0.397,1.002,2.837,0.457,1.539
3,16,linear,6.614,0.165,3.193,0.049,0.009,0.058,6.531,0.148,3.077,6.713,0.182,3.299
3,16,nonlinear,0.938,0.165,1.074,0.095,0.009,0.108,0.759,0.148,0.866,1.096,0.182,1.247
3,17,linear,10.887,0.577,3.22,0.085,0.011,0.06,10.752,0.557,3.109,11.064,0.596,3.317
3,17,nonlinear,4.697,0.577,1.215,0.612,0.011,0.16,3.58,0.557,0.919,5.707,0.597,1.481
3,18,linear,10.128,0.058,1.416,0.034,0.001,0.009,10.068,0.057,1.402,10.198,0.06,1.435
3,18,nonlinear,3.835,0.058,0.523,0.46,0.001,0.063,2.963,0.056,0.406,4.556,0.06,0.623
3,19,linear,16.52,0.197,4.281,0.201,0.014,0.05,16.171,0.173,4.183,16.982,0.222,4.381
3,19,nonlinear,5.323,0.198,1.298,0.791,0.014,0.193,3.786,0.172,0.936,6.513,0.221,1.598
3,20,linear,19.285,0.458,5.918,0.22,0.011,0.122,18.875,0.437,5.728,19.733,0.479,6.168
3,20,nonlinear,5.931,0.458,1.455,0.984,0.011,0.242,4.033,0.437,0.985,7.528,0.478,1.844
3,21,linear,18.677,0.478,6.115,0.116,0.013,0.084,18.471,0.451,5.953,18.901,0.5,6.271
3,21,nonlinear,7.818,0.477,2.289,2.152,0.014,0.631,4.033,0.451,1.178,11.844,0.502,3.469
3,22,linear,14.147,0.514,4.674,0.181,0.021,0.089,13.838,0.469,4.5,14.529,0.55,4.849
3,22,nonlinear,6.317,0.513,2.3,1.305,0.022,0.476,3.935,0.466,1.4,8.548,0.55,3.1
3,23,linear,33.452,1.222,10.732,0.252,0.02,0.174,32.958,1.178,10.397,33.931,1.254,11.042
3,23,nonlinear,6.023,1.222,1.785,0.971,0.02,0.289,4.203,1.181,1.251,7.606,1.256,2.271
3,24,linear,16.431,1.279,4.68,0.359,0.018,0.053,15.704,1.244,4.59,16.954,1.316,4.791
3,24,nonlinear,5.273,1.279,1.842,0.788,0.018,0.276,3.782,1.243,1.304,6.589,1.315,2.29
